,symbol,quoteQty_USD
0,ACAUSDT,11.417710000000001
1,ADABUSD,567.748664
2,ADAUSDT,3579.524129
3,ALGOBNB,196.79412
4,ALGOUSDT,260.524596
5,BNBBUSD,586.5244471999999
6,BNBETH,1576.76036
7,BNBUSDT,1775.885826
8,BTCBUSD,1105.47019831
9,BTCUSDT,20111.49163652
10,BUSDUSD,4569.69999990385
11,BUSDUSDT,1384.3122
12,CAKEUSDT,353.01227299999994
13,CHZUSDT,603.467433
14,DOTBUSD,562.254466
15,DOTETH,18.067500000000003
16,DOTUSDT,5783.702899
17,ETHBUSD,329.77504
18,ETHUSDT,12068.4526477
19,GLMRUSDT,3014.70674
20,KSMBUSD,1894.42651
21,KSMUSDT,5992.664738
22,MOVRUSDT,58.760000000000005
23,USDTCLP,326.88
24,USDTUSD,2591.089998797417
25,USTBUSD,566.1865
26,USTUSDT,2050.2876
27,VETBUSD,1306.2390839999998
28,VETUSDT,2689.364571
29,XVSUSDT,1291.266966
