,Ticker,Mes,Profit/Loss
0,BUSDUSD,enero,0.0
1,ADABUSD,enero,0.0
2,VETBUSD,enero,0.0
3,BTCBUSD,enero,0.0
4,DOTBUSD,enero,0.0
5,BUSDUSDT,enero,0.0
6,USDTUSD,enero,0.0
7,BTCUSDT,enero,0.0
8,CAKEUSDT,enero,0.0
9,BNBBUSD,enero,0.0
10,CHZUSDT,enero,0.0
11,ADAUSDT,enero,0.0
12,KSMBUSD,enero,0.0
13,ALGOUSDT,enero,0.0
14,ALGOBNB,enero,0.0
15,ETHBUSD,enero,0.0
16,BNBETH,enero,0.0
17,ETHUSDT,enero,0.0
18,KSMUSDT,enero,0.0
19,BNBUSDT,enero,0.0
20,VETUSDT,enero,0.0
21,XVSUSDT,enero,0.0
22,DOTUSDT,enero,0.0
23,BUSDUSD,febrero,1528169.0
24,ADABUSD,febrero,-11584.0
25,VETBUSD,febrero,-3102.0
26,BTCBUSD,febrero,-2201.0
27,DOTBUSD,febrero,-8378.0
28,BUSDUSDT,febrero,0.0
29,USDTUSD,febrero,0.0
30,BTCUSDT,febrero,0.0
31,CAKEUSDT,febrero,0.0
32,BNBBUSD,febrero,0.0
33,CHZUSDT,febrero,0.0
34,ADAUSDT,febrero,0.0
35,KSMBUSD,febrero,0.0
36,ALGOUSDT,febrero,0.0
37,ALGOBNB,febrero,0.0
38,ETHBUSD,febrero,0.0
39,BNBETH,febrero,0.0
40,ETHUSDT,febrero,0.0
41,KSMUSDT,febrero,0.0
42,BNBUSDT,febrero,0.0
43,VETUSDT,febrero,0.0
44,XVSUSDT,febrero,0.0
45,DOTUSDT,febrero,0.0
46,BUSDUSD,marzo,395457.0
47,ADABUSD,marzo,0.0
48,VETBUSD,marzo,0.0
49,BTCBUSD,marzo,0.0
50,DOTBUSD,marzo,0.0
51,BUSDUSDT,marzo,-3540.0
52,USDTUSD,marzo,1847863.0
53,BTCUSDT,marzo,64654.0
54,CAKEUSDT,marzo,-25549.0
55,BNBBUSD,marzo,23126.0
56,CHZUSDT,marzo,212799.0
57,ADAUSDT,marzo,-12639.0
58,KSMBUSD,marzo,0.0
59,ALGOUSDT,marzo,0.0
60,ALGOBNB,marzo,0.0
61,ETHBUSD,marzo,0.0
62,BNBETH,marzo,0.0
63,ETHUSDT,marzo,0.0
64,KSMUSDT,marzo,0.0
65,BNBUSDT,marzo,0.0
66,VETUSDT,marzo,0.0
67,XVSUSDT,marzo,0.0
68,DOTUSDT,marzo,0.0
69,BUSDUSD,abril,717608.0
70,ADABUSD,abril,0.0
71,VETBUSD,abril,0.0
72,BTCBUSD,abril,-11108.0
73,DOTBUSD,abril,0.0
74,BUSDUSDT,abril,0.0
75,USDTUSD,abril,166220.0
76,BTCUSDT,abril,0.0
77,CAKEUSDT,abril,0.0
78,BNBBUSD,abril,-15706.0
79,CHZUSDT,abril,0.0
80,ADAUSDT,abril,0.0
81,KSMBUSD,abril,-19582.0
82,ALGOUSDT,abril,-2542.0
83,ALGOBNB,abril,19433.0
84,ETHBUSD,abril,0.0
85,BNBETH,abril,0.0
86,ETHUSDT,abril,0.0
87,KSMUSDT,abril,0.0
88,BNBUSDT,abril,0.0
89,VETUSDT,abril,0.0
90,XVSUSDT,abril,0.0
91,DOTUSDT,abril,0.0
92,BUSDUSD,mayo,893573.0
93,ADABUSD,mayo,0.0
94,VETBUSD,mayo,521984.0
95,BTCBUSD,mayo,34622.0
96,DOTBUSD,mayo,0.0
97,BUSDUSDT,mayo,0.0
98,USDTUSD,mayo,0.0
99,BTCUSDT,mayo,-980225.0
100,CAKEUSDT,mayo,0.0
101,BNBBUSD,mayo,0.0
102,CHZUSDT,mayo,0.0
103,ADAUSDT,mayo,0.0
104,KSMBUSD,mayo,-38518.0
105,ALGOUSDT,mayo,0.0
106,ALGOBNB,mayo,0.0
107,ETHBUSD,mayo,-6149.0
108,BNBETH,mayo,616469.0
109,ETHUSDT,mayo,52021.0
110,KSMUSDT,mayo,-74576.0
111,BNBUSDT,mayo,-166347.0
112,VETUSDT,mayo,-21567.0
113,XVSUSDT,mayo,1585.0
114,DOTUSDT,mayo,-167203.0
115,BUSDUSD,junio,0.0
116,ADABUSD,junio,0.0
117,VETBUSD,junio,0.0
118,BTCBUSD,junio,0.0
119,DOTBUSD,junio,0.0
120,BUSDUSDT,junio,1940.0
121,USDTUSD,junio,0.0
122,BTCUSDT,junio,-30259.0
123,CAKEUSDT,junio,0.0
124,BNBBUSD,junio,0.0
125,CHZUSDT,junio,0.0
126,ADAUSDT,junio,0.0
127,KSMBUSD,junio,14508.0
128,ALGOUSDT,junio,0.0
129,ALGOBNB,junio,0.0
130,ETHBUSD,junio,0.0
131,BNBETH,junio,0.0
132,ETHUSDT,junio,0.0
133,KSMUSDT,junio,-167213.0
134,BNBUSDT,junio,0.0
135,VETUSDT,junio,0.0
136,XVSUSDT,junio,0.0
137,DOTUSDT,junio,0.0
138,BUSDUSD,julio,0.0
139,ADABUSD,julio,0.0
140,VETBUSD,julio,0.0
141,BTCBUSD,julio,0.0
142,DOTBUSD,julio,0.0
143,BUSDUSDT,julio,0.0
144,USDTUSD,julio,0.0
145,BTCUSDT,julio,0.0
146,CAKEUSDT,julio,0.0
147,BNBBUSD,julio,0.0
148,CHZUSDT,julio,0.0
149,ADAUSDT,julio,0.0
150,KSMBUSD,julio,0.0
151,ALGOUSDT,julio,0.0
152,ALGOBNB,julio,0.0
153,ETHBUSD,julio,0.0
154,BNBETH,julio,0.0
155,ETHUSDT,julio,0.0
156,KSMUSDT,julio,0.0
157,BNBUSDT,julio,0.0
158,VETUSDT,julio,0.0
159,XVSUSDT,julio,0.0
160,DOTUSDT,julio,0.0
161,BUSDUSD,agosto,0.0
162,ADABUSD,agosto,0.0
163,VETBUSD,agosto,0.0
164,BTCBUSD,agosto,0.0
165,DOTBUSD,agosto,0.0
166,BUSDUSDT,agosto,0.0
167,USDTUSD,agosto,0.0
168,BTCUSDT,agosto,0.0
169,CAKEUSDT,agosto,0.0
170,BNBBUSD,agosto,0.0
171,CHZUSDT,agosto,0.0
172,ADAUSDT,agosto,0.0
173,KSMBUSD,agosto,0.0
174,ALGOUSDT,agosto,0.0
175,ALGOBNB,agosto,0.0
176,ETHBUSD,agosto,0.0
177,BNBETH,agosto,0.0
178,ETHUSDT,agosto,0.0
179,KSMUSDT,agosto,0.0
180,BNBUSDT,agosto,0.0
181,VETUSDT,agosto,0.0
182,XVSUSDT,agosto,0.0
183,DOTUSDT,agosto,0.0
184,BUSDUSD,septiembre,0.0
185,ADABUSD,septiembre,0.0
186,VETBUSD,septiembre,0.0
187,BTCBUSD,septiembre,0.0
188,DOTBUSD,septiembre,0.0
189,BUSDUSDT,septiembre,0.0
190,USDTUSD,septiembre,0.0
191,BTCUSDT,septiembre,0.0
192,CAKEUSDT,septiembre,0.0
193,BNBBUSD,septiembre,0.0
194,CHZUSDT,septiembre,0.0
195,ADAUSDT,septiembre,1320997.0
196,KSMBUSD,septiembre,0.0
197,ALGOUSDT,septiembre,0.0
198,ALGOBNB,septiembre,0.0
199,ETHBUSD,septiembre,0.0
200,BNBETH,septiembre,0.0
201,ETHUSDT,septiembre,271889.0
202,KSMUSDT,septiembre,0.0
203,BNBUSDT,septiembre,0.0
204,VETUSDT,septiembre,0.0
205,XVSUSDT,septiembre,0.0
206,DOTUSDT,septiembre,77779.0
207,BUSDUSD,octubre,0.0
208,ADABUSD,octubre,0.0
209,VETBUSD,octubre,0.0
210,BTCBUSD,octubre,0.0
211,DOTBUSD,octubre,0.0
212,BUSDUSDT,octubre,0.0
213,USDTUSD,octubre,0.0
214,BTCUSDT,octubre,0.0
215,CAKEUSDT,octubre,0.0
216,BNBBUSD,octubre,0.0
217,CHZUSDT,octubre,0.0
218,ADAUSDT,octubre,0.0
219,KSMBUSD,octubre,0.0
220,ALGOUSDT,octubre,0.0
221,ALGOBNB,octubre,0.0
222,ETHBUSD,octubre,0.0
223,BNBETH,octubre,0.0
224,ETHUSDT,octubre,0.0
225,KSMUSDT,octubre,0.0
226,BNBUSDT,octubre,0.0
227,VETUSDT,octubre,0.0
228,XVSUSDT,octubre,0.0
229,DOTUSDT,octubre,0.0
230,BUSDUSD,noviembre,0.0
231,ADABUSD,noviembre,0.0
232,VETBUSD,noviembre,0.0
233,BTCBUSD,noviembre,0.0
234,DOTBUSD,noviembre,0.0
235,BUSDUSDT,noviembre,0.0
236,USDTUSD,noviembre,0.0
237,BTCUSDT,noviembre,0.0
238,CAKEUSDT,noviembre,0.0
239,BNBBUSD,noviembre,0.0
240,CHZUSDT,noviembre,0.0
241,ADAUSDT,noviembre,0.0
242,KSMBUSD,noviembre,0.0
243,ALGOUSDT,noviembre,0.0
244,ALGOBNB,noviembre,0.0
245,ETHBUSD,noviembre,0.0
246,BNBETH,noviembre,0.0
247,ETHUSDT,noviembre,0.0
248,KSMUSDT,noviembre,0.0
249,BNBUSDT,noviembre,0.0
250,VETUSDT,noviembre,0.0
251,XVSUSDT,noviembre,0.0
252,DOTUSDT,noviembre,0.0
253,BUSDUSD,diciembre,0.0
254,ADABUSD,diciembre,0.0
255,VETBUSD,diciembre,0.0
256,BTCBUSD,diciembre,0.0
257,DOTBUSD,diciembre,0.0
258,BUSDUSDT,diciembre,0.0
259,USDTUSD,diciembre,0.0
260,BTCUSDT,diciembre,0.0
261,CAKEUSDT,diciembre,0.0
262,BNBBUSD,diciembre,0.0
263,CHZUSDT,diciembre,0.0
264,ADAUSDT,diciembre,0.0
265,KSMBUSD,diciembre,0.0
266,ALGOUSDT,diciembre,0.0
267,ALGOBNB,diciembre,0.0
268,ETHBUSD,diciembre,0.0
269,BNBETH,diciembre,0.0
270,ETHUSDT,diciembre,0.0
271,KSMUSDT,diciembre,0.0
272,BNBUSDT,diciembre,0.0
273,VETUSDT,diciembre,0.0
274,XVSUSDT,diciembre,0.0
275,DOTUSDT,diciembre,0.0
